N# grupo;Nome do integrante;E-mail do integrante;
1;Odair 5;odair@gmail.com;
1;Jose 2;jose@gmail.com;
1;Odair 6;odair@gmail.com;
1;Jose 3;jose@gmail.com;

2;Jose;jose@gmail.com;
2;Odair 2;odair@gmail.com;
2;Beto Meira;beto.meira@gmail.com;
2;Odair 4;odair@gmail.com;

3;Jose 5;jose@gmail.com;
3;Jose 4;jose@gmail.com;
3;Beto Meira 2;beto.meira@gmail.com;
3;Jose 6;jose@gmail.com;

4;Odair;odair@gmail.com;
4;Odair 3;odair@gmail.com;
4;Beto Meira 3;beto.meira@gmail.com;
4;Beto Meira 69;beto.meira@gmail.com;

